Date,Modal Price (Rs./Quintal)
14 Feb 2017,1315
13 Feb 2017,1335
09 Feb 2017,1310
07 Feb 2017,1295
30 Jan 2017,1300
25 Jan 2017,1285
24 Jan 2017,1315
23 Jan 2017,1191
20 Jan 2017,1270
19 Jan 2017,1270
18 Jan 2017,1290
16 Jan 2017,1125
13 Jan 2017,1285
12 Jan 2017,1400
09 Jan 2017,1280
06 Jan 2017,1325
05 Jan 2017,1250
04 Jan 2017,1321
03 Jan 2017,1320
